generation,name,pokedex_number,type1,attack,defense,hp,sp_attack,sp_defense,speed,base_total,favorite_votes
one,Bulbasaur,1,grass,49,49,45,65,65,45,318,100
one,Ivysaur,2,grass,62,63,60,80,80,60,405,43
one,Venusaur,3,grass,100,123,80,122,120,80,625,64
one,Charmander,4,fire,52,43,39,60,50,65,309,71
one,Charmeleon,5,fire,64,58,58,80,65,80,405,35
one,Charizard,6,fire,104,78,78,159,115,100,634,207
one,Squirtle,7,water,48,65,44,50,64,43,314,70
one,Wartortle,8,water,63,80,59,65,80,58,405,32
one,Blastoise,9,water,103,120,79,135,115,78,630,89
one,Caterpie,10,bug,30,35,45,20,20,45,195,9
one,Metapod,11,bug,20,55,50,25,25,30,205,3
one,Butterfree,12,bug,45,50,60,90,80,70,395,25
one,Weedle,13,bug,35,30,40,20,20,50,195,1
one,Kakuna,14,bug,25,50,45,25,25,35,205,2
one,Beedrill,15,bug,150,40,65,15,80,145,495,20
one,Pidgey,16,normal,45,40,40,35,35,56,251,13
one,Pidgeotto,17,normal,60,55,63,50,50,71,349,16
one,Pidgeot,18,normal,80,80,83,135,80,121,579,55
one,Rattata,19,normal,56,35,30,25,35,72,253,6
one,Raticate,20,normal,71,70,75,40,80,77,413,8
one,Spearow,21,normal,60,30,40,31,31,70,262,2
one,Fearow,22,normal,90,65,65,61,61,100,442,6
one,Ekans,23,poison,60,44,35,40,54,55,288,4
one,Arbok,24,poison,95,69,60,65,79,80,448,19
one,Pikachu,25,electric,55,40,35,50,50,90,320,70
one,Raichu,26,electric,85,50,60,95,85,110,485,59
one,Sandshrew,27,ground,75,90,50,10,35,40,300,27
one,Sandslash,28,ground,100,120,75,25,65,65,450,37
one,Nidoran ♀,29,poison,47,52,55,40,40,41,275,13
one,Nidorina,30,poison,62,67,70,55,55,56,365,10
one,Nidoqueen,31,poison,92,87,90,75,85,76,505,28
one,Nidoran ♂,32,poison,57,40,46,40,40,50,273,8
one,Nidorino,33,poison,72,57,61,55,55,65,365,10
one,Nidoking,34,poison,102,77,81,85,75,85,505,78
one,Clefairy,35,fairy,45,48,70,60,65,35,323,17
one,Clefable,36,fairy,70,73,95,95,90,60,483,17
one,Vulpix,37,fire,41,40,38,50,65,65,299,73
one,Ninetales,38,fire,67,75,73,81,100,109,505,119
one,Jigglypuff,39,normal,45,20,115,45,25,20,270,27
one,Wigglytuff,40,normal,70,45,140,85,50,45,435,21
one,Zubat,41,poison,45,35,40,30,40,55,245,14
one,Golbat,42,poison,80,70,75,65,75,90,455,11
one,Oddish,43,grass,50,55,45,75,65,30,320,20
one,Gloom,44,grass,65,70,60,85,75,40,395,12
one,Vileplume,45,grass,80,85,75,110,90,50,490,32
one,Paras,46,bug,70,55,35,45,55,25,285,16
one,Parasect,47,bug,95,80,60,60,80,30,405,9
one,Venonat,48,bug,55,50,60,40,55,45,305,14
one,Venomoth,49,bug,65,60,70,90,75,90,450,14
one,Diglett,50,ground,55,30,10,35,45,90,265,12
one,Dugtrio,51,ground,100,60,35,50,70,110,425,17
one,Meowth,52,normal,35,35,40,50,40,90,290,28
one,Persian,53,normal,60,60,65,75,65,115,440,18
one,Psyduck,54,water,52,48,50,65,50,55,320,23
one,Golduck,55,water,82,78,80,95,80,85,500,18
one,Mankey,56,fighting,80,35,40,35,45,70,305,11
one,Primeape,57,fighting,105,60,65,60,70,95,455,17
one,Growlithe,58,fire,70,45,55,70,50,60,350,46
one,Arcanine,59,fire,110,80,90,100,80,95,555,144
one,Poliwag,60,water,50,40,40,40,40,90,300,14
one,Poliwhirl,61,water,65,65,65,50,50,90,385,12
one,Poliwrath,62,water,95,95,90,70,90,70,510,25
one,Abra,63,psychic,20,15,25,105,55,90,310,27
one,Kadabra,64,psychic,35,30,40,120,70,105,400,17
one,Alakazam,65,psychic,50,65,55,175,105,150,600,96
one,Machop,66,fighting,80,50,70,35,35,35,305,5
one,Machoke,67,fighting,100,70,80,50,60,45,405,9
one,Machamp,68,fighting,130,80,90,65,85,55,505,41
one,Bellsprout,69,grass,75,35,50,70,30,40,300,4
one,Weepinbell,70,grass,90,50,65,85,45,55,390,3
one,Victreebel,71,grass,105,65,80,100,70,70,490,15
one,Tentacool,72,water,40,35,40,50,100,70,335,6
one,Tentacruel,73,water,70,65,80,80,120,100,515,16
one,Geodude,74,rock,80,100,40,30,30,20,300,5
one,Graveler,75,rock,95,115,55,45,45,35,390,4
one,Golem,76,rock,120,130,80,55,65,45,495,32
one,Ponyta,77,fire,85,55,50,65,65,90,410,19
one,Rapidash,78,fire,100,70,65,80,80,105,500,39
one,Slowpoke,79,water,65,65,90,40,40,15,315,21
one,Slowbro,80,water,75,180,95,130,80,30,590,26
one,Magnemite,81,electric,35,70,25,95,55,45,325,11
one,Magneton,82,electric,60,95,50,120,70,70,465,26
one,Farfetch'd,83,normal,90,55,52,58,62,60,377,23
one,Doduo,84,normal,85,45,35,35,35,75,310,5
one,Dodrio,85,normal,110,70,60,60,60,110,470,7
one,Seel,86,water,45,55,65,45,70,45,325,8
one,Dewgong,87,water,70,80,90,70,95,70,475,21
one,Grimer,88,poison,80,50,80,40,50,25,325,6
one,Muk,89,poison,105,75,105,65,100,50,500,32
one,Shellder,90,water,65,100,30,45,25,40,305,3
one,Cloyster,91,water,95,180,50,85,45,70,525,21
one,Gastly,92,ghost,35,30,30,100,35,80,310,29
one,Haunter,93,ghost,50,45,45,115,55,95,405,65
one,Gengar,94,ghost,65,80,60,170,95,130,600,186
one,Onix,95,rock,45,160,35,30,45,70,385,16
one,Drowzee,96,psychic,48,45,60,43,90,42,328,7
one,Hypno,97,psychic,73,70,85,73,115,67,483,7
one,Krabby,98,water,105,90,30,25,25,50,325,4
one,Kingler,99,water,130,115,55,50,50,75,475,21
one,Voltorb,100,electric,30,50,40,55,55,100,330,6
one,Electrode,101,electric,50,70,60,80,80,150,490,7
one,Exeggcute,102,grass,40,80,60,60,45,40,325,4
one,Exeggutor,103,grass,105,85,95,125,75,45,530,21
one,Cubone,104,ground,50,95,50,40,50,35,320,51
one,Marowak,105,ground,80,110,60,50,80,45,425,41
one,Hitmonlee,106,fighting,120,53,50,35,110,87,455,31
one,Hitmonchan,107,fighting,105,79,50,35,110,76,455,20
one,Lickitung,108,normal,55,75,90,60,75,30,385,12
one,Koffing,109,poison,65,95,40,60,45,35,340,5
one,Weezing,110,poison,90,120,65,85,70,60,490,13
one,Rhyhorn,111,ground,85,95,80,30,30,25,345,10
one,Rhydon,112,ground,130,120,105,45,45,40,485,32
one,Chansey,113,normal,5,5,250,35,105,50,450,17
one,Tangela,114,grass,55,115,65,100,40,60,435,20
one,Kangaskhan,115,normal,125,100,105,60,100,100,590,24
one,Horsea,116,water,40,70,30,70,25,60,295,16
one,Seadra,117,water,65,95,55,95,45,85,440,14
one,Goldeen,118,water,67,60,45,35,50,63,320,4
one,Seaking,119,water,92,65,80,65,80,68,450,6
one,Staryu,120,water,45,55,30,70,55,85,340,13
one,Starmie,121,water,75,85,60,100,85,115,520,44
one,Mr. Mime,122,psychic,45,65,40,100,120,90,460,14
one,Scyther,123,bug,110,80,70,55,80,105,500,77
one,Jynx,124,ice,50,35,65,115,95,95,455,8
one,Electabuzz,125,electric,83,57,65,95,85,105,490,25
one,Magmar,126,fire,95,57,65,100,85,93,495,22
one,Pinsir,127,bug,155,120,65,65,90,105,600,14
one,Tauros,128,normal,100,95,75,40,70,110,490,22
one,Magikarp,129,water,10,55,20,15,20,80,200,37
one,Gyarados,130,water,155,109,95,70,130,81,640,89
one,Lapras,131,water,85,80,130,85,95,60,535,117
one,Ditto,132,normal,48,48,48,48,48,48,288,50
one,Eevee,133,normal,55,50,55,45,65,55,325,144
one,Vaporeon,134,water,65,60,130,110,95,65,525,105
one,Jolteon,135,electric,65,60,65,110,95,130,525,117
one,Flareon,136,fire,130,60,65,95,110,65,525,45
one,Porygon,137,normal,60,70,65,85,75,40,395,36
one,Omanyte,138,rock,40,100,35,90,55,35,355,25
one,Omastar,139,rock,60,125,70,115,70,55,495,25
one,Kabuto,140,rock,80,90,30,55,45,55,355,80
one,Kabutops,141,rock,115,105,60,65,70,80,495,75
one,Aerodactyl,142,rock,135,85,80,70,95,150,615,67
one,Snorlax,143,normal,110,65,160,65,110,30,540,83
one,Articuno,144,ice,85,100,90,95,125,85,580,86
one,Zapdos,145,electric,90,85,90,125,90,100,580,74
one,Moltres,146,fire,100,90,90,125,85,90,580,35
one,Dratini,147,dragon,64,45,41,50,50,50,300,68
one,Dragonair,148,dragon,84,65,61,70,70,70,420,77
one,Dragonite,149,dragon,134,95,91,100,100,80,600,132
one,Mewtwo,150,psychic,150,70,106,194,120,140,780,112
one,Mew,151,psychic,100,100,100,100,100,100,600,185
two,Chikorita,152,grass,49,65,45,49,65,45,318,72
two,Bayleef,153,grass,62,80,60,63,80,60,405,47
two,Meganium,154,grass,82,100,80,83,100,80,525,53
two,Cyndaquil,155,fire,52,43,39,60,50,65,309,103
two,Quilava,156,fire,64,58,58,80,65,80,405,65
two,Typhlosion,157,fire,84,78,78,109,85,100,534,164
two,Totodile,158,water,65,64,50,44,48,43,314,89
two,Croconaw,159,water,80,80,65,59,63,58,405,28
two,Feraligatr,160,water,105,100,85,79,83,78,530,102
two,Sentret,161,normal,46,34,35,35,45,20,215,12
two,Furret,162,normal,76,64,85,45,55,90,415,46
two,Hoothoot,163,normal,30,30,60,36,56,50,262,17
two,Noctowl,164,normal,50,50,100,86,96,70,452,30
two,Ledyba,165,bug,20,30,40,40,80,55,265,5
two,Ledian,166,bug,35,50,55,55,110,85,390,13
two,Spinarak,167,bug,60,40,40,40,40,30,250,8
two,Ariados,168,bug,90,70,70,60,70,40,400,13
two,Crobat,169,poison,90,80,85,70,80,130,535,117
two,Chinchou,170,water,38,38,75,56,56,67,330,24
two,Lanturn,171,water,58,58,125,76,76,67,460,50
two,Pichu,172,electric,40,15,20,35,35,60,205,31
two,Cleffa,173,fairy,25,28,50,45,55,15,218,14
two,Igglybuff,174,normal,30,15,90,40,20,15,210,14
two,Togepi,175,fairy,20,65,35,40,65,20,245,62
two,Togetic,176,fairy,40,85,55,80,105,40,405,30
two,Natu,177,psychic,50,45,40,70,45,70,320,15
two,Xatu,178,psychic,75,70,65,95,70,95,470,28
two,Mareep,179,electric,40,40,55,65,45,35,280,64
two,Flaaffy,180,electric,55,55,70,80,60,45,365,43
two,Ampharos,181,electric,95,105,90,165,110,45,610,166
two,Bellossom,182,grass,80,95,75,90,100,50,490,27
two,Marill,183,water,20,50,70,20,50,40,250,53
two,Azumarill,184,water,50,80,100,60,80,50,420,47
two,Sudowoodo,185,rock,100,115,70,30,65,30,410,41
two,Politoed,186,water,75,75,90,90,100,70,500,44
two,Hoppip,187,grass,35,40,35,35,55,50,250,11
two,Skiploom,188,grass,45,50,55,45,65,80,340,10
two,Jumpluff,189,grass,55,70,75,55,95,110,460,22
two,Aipom,190,normal,70,55,55,40,55,85,360,21
two,Sunkern,191,grass,30,30,30,30,30,30,180,5
two,Sunflora,192,grass,75,55,75,105,85,30,425,5
two,Yanma,193,bug,65,45,65,75,45,95,390,12
two,Wooper,194,water,45,45,55,25,25,15,210,23
two,Quagsire,195,water,85,85,95,65,65,35,430,45
two,Espeon,196,psychic,65,60,65,130,95,110,525,182
two,Umbreon,197,dark,65,110,95,60,130,65,525,219
two,Murkrow,198,dark,85,42,60,85,42,91,405,41
two,Slowking,199,water,75,80,95,100,110,30,490,23
two,Misdreavus,200,ghost,60,60,60,85,85,85,435,44
two,Unown,201,psychic,72,48,48,72,48,48,336,17
two,Wobbuffet,202,psychic,33,58,190,33,58,33,405,24
two,Girafarig,203,normal,80,65,70,90,65,85,455,17
two,Pineco,204,bug,65,90,50,35,35,15,290,9
two,Forretress,205,bug,90,140,75,60,60,40,465,23
two,Dunsparce,206,normal,70,70,100,65,65,45,415,23
two,Gligar,207,ground,75,105,65,35,65,85,430,22
two,Steelix,208,steel,125,230,75,55,95,30,610,76
two,Snubbull,209,fairy,80,50,60,40,40,30,300,4
two,Granbull,210,fairy,120,75,90,60,60,45,450,7
two,Qwilfish,211,water,95,85,65,55,55,85,440,9
two,Scizor,212,bug,150,140,70,65,100,75,600,154
two,Shuckle,213,bug,10,230,20,10,230,5,505,43
two,Heracross,214,bug,185,115,80,40,105,75,600,123
two,Sneasel,215,dark,95,55,55,35,75,115,430,45
two,Teddiursa,216,normal,80,50,60,50,50,40,330,29
two,Ursaring,217,normal,130,75,90,75,75,55,500,33
two,Slugma,218,fire,40,40,40,70,40,20,250,8
two,Magcargo,219,fire,50,120,60,90,80,30,430,16
two,Swinub,220,ice,50,40,50,30,30,50,250,16
two,Piloswine,221,ice,100,80,100,60,60,50,450,14
two,Corsola,222,water,55,95,65,65,95,35,410,29
two,Remoraid,223,water,65,35,35,65,35,65,300,2
two,Octillery,224,water,105,75,75,105,75,45,480,22
two,Delibird,225,ice,55,45,45,65,45,75,330,10
two,Mantine,226,water,40,70,85,80,140,70,485,21
two,Skarmory,227,steel,80,140,65,40,70,70,465,71
two,Houndour,228,dark,60,30,45,80,50,65,330,46
two,Houndoom,229,dark,90,90,75,140,90,115,600,126
two,Kingdra,230,water,95,95,75,95,95,85,540,64
two,Phanpy,231,ground,60,60,90,40,40,40,330,38
two,Donphan,232,ground,120,120,90,60,60,50,500,49
two,Porygon2,233,normal,80,90,85,105,95,60,515,33
two,Stantler,234,normal,95,62,73,85,65,85,465,9
two,Smeargle,235,normal,20,35,55,20,45,75,250,18
two,Tyrogue,236,fighting,35,35,35,35,35,35,210,11
two,Hitmontop,237,fighting,95,95,50,35,110,70,455,27
two,Smoochum,238,ice,30,15,45,85,65,65,305,7
two,Elekid,239,electric,63,37,45,65,55,95,360,17
two,Magby,240,fire,75,37,45,70,55,83,365,17
two,Miltank,241,normal,80,105,95,40,70,100,490,25
two,Blissey,242,normal,10,10,255,75,135,55,540,32
two,Raikou,243,electric,85,75,90,115,100,115,580,93
two,Entei,244,fire,115,85,115,90,75,100,580,97
two,Suicune,245,water,75,115,100,90,115,85,580,135
two,Larvitar,246,rock,64,50,50,45,50,41,300,60
two,Pupitar,247,rock,84,70,70,65,70,51,410,21
two,Tyranitar,248,rock,164,150,100,95,120,71,700,228
two,Lugia,249,psychic,90,130,106,90,154,110,680,180
two,Ho-Oh,250,fire,130,90,106,110,154,90,680,102
two,Celebi,251,psychic,100,100,100,100,100,100,600,70
three,Treecko,252,grass,45,35,40,65,55,70,310,92
three,Grovyle,253,grass,65,45,50,85,65,95,405,96
three,Sceptile,254,grass,110,75,70,145,85,145,630,171
three,Torchic,255,fire,60,40,45,70,50,45,310,78
three,Combusken,256,fire,85,60,60,85,60,55,405,33
three,Blaziken,257,fire,160,80,80,130,80,100,630,192
three,Mudkip,258,water,70,50,50,50,50,40,310,145
three,Marshtomp,259,water,85,70,70,60,70,50,405,42
three,Swampert,260,water,150,110,100,95,110,70,635,163
three,Poochyena,261,dark,55,35,35,30,30,35,220,39
three,Mightyena,262,dark,90,70,70,60,60,70,420,64
three,Zigzagoon,263,normal,30,41,38,30,41,60,240,30
three,Linoone,264,normal,70,61,78,50,61,100,420,21
three,Wurmple,265,bug,45,35,45,20,30,20,195,7
three,Silcoon,266,bug,35,55,50,25,25,15,205,3
three,Beautifly,267,bug,70,50,60,100,50,65,395,19
three,Cascoon,268,bug,35,55,50,25,25,15,205,4
three,Dustox,269,bug,50,70,60,50,90,65,385,15
three,Lotad,270,water,30,30,40,40,50,30,220,31
three,Lombre,271,water,50,50,60,60,70,50,340,21
three,Ludicolo,272,water,70,70,80,90,100,70,480,79
three,Seedot,273,grass,40,50,40,30,30,30,220,12
three,Nuzleaf,274,grass,70,40,70,60,40,60,340,15
three,Shiftry,275,grass,100,60,90,90,60,80,480,42
three,Taillow,276,normal,55,30,40,30,30,85,270,25
three,Swellow,277,normal,85,60,60,75,50,125,455,35
three,Wingull,278,water,30,30,40,55,30,85,270,17
three,Pelipper,279,water,50,100,60,95,70,65,440,23
three,Ralts,280,psychic,25,25,28,45,35,40,198,68
three,Kirlia,281,psychic,35,35,38,65,55,50,278,47
three,Gardevoir,282,psychic,85,65,68,165,135,100,618,214
three,Surskit,283,bug,30,32,40,50,52,65,269,23
three,Masquerain,284,bug,60,62,70,100,82,80,454,23
three,Shroomish,285,grass,40,60,60,40,60,35,295,29
three,Breloom,286,grass,130,80,60,60,60,70,460,99
three,Slakoth,287,normal,60,60,60,35,35,30,280,20
three,Vigoroth,288,normal,80,80,80,55,55,90,440,24
three,Slaking,289,normal,160,100,150,95,65,100,670,44
three,Nincada,290,bug,45,90,31,30,30,40,266,10
three,Ninjask,291,bug,90,45,61,50,50,160,456,31
three,Shedinja,292,bug,90,45,1,30,30,40,236,57
three,Whismur,293,normal,51,23,64,51,23,28,240,7
three,Loudred,294,normal,71,43,84,71,43,48,360,9
three,Exploud,295,normal,91,63,104,91,73,68,490,33
three,Makuhita,296,fighting,60,30,72,20,30,25,237,9
three,Hariyama,297,fighting,120,60,144,40,60,50,474,26
three,Azurill,298,normal,20,40,50,20,40,20,190,16
three,Nosepass,299,rock,45,135,30,45,90,30,375,16
three,Skitty,300,normal,45,45,50,35,35,50,260,48
three,Delcatty,301,normal,65,65,70,55,55,90,400,28
three,Sableye,302,dark,85,125,50,85,115,20,480,67
three,Mawile,303,steel,105,125,50,55,95,50,480,62
three,Aron,304,steel,70,100,50,40,40,30,330,57
three,Lairon,305,steel,90,140,60,50,50,40,430,35
three,Aggron,306,steel,140,230,70,60,80,50,630,159
three,Meditite,307,fighting,40,55,30,40,55,60,280,4
three,Medicham,308,fighting,100,85,60,80,85,100,510,19
three,Electrike,309,electric,45,40,40,65,40,65,295,16
three,Manectric,310,electric,75,80,70,135,80,135,575,45
three,Plusle,311,electric,50,40,60,85,75,95,405,28
three,Minun,312,electric,40,50,60,75,85,95,405,36
three,Volbeat,313,bug,73,75,65,47,85,85,430,3
three,Illumise,314,bug,47,75,65,73,85,85,430,8
three,Roselia,315,grass,60,45,50,100,80,65,400,27
three,Gulpin,316,poison,43,53,70,43,53,40,302,7
three,Swalot,317,poison,73,83,100,73,83,55,467,10
three,Carvanha,318,water,90,20,45,65,20,65,305,15
three,Sharpedo,319,water,140,70,70,110,65,105,560,64
three,Wailmer,320,water,70,35,130,70,35,60,400,24
three,Wailord,321,water,90,45,170,90,45,60,500,51
three,Numel,322,fire,60,40,60,65,45,35,305,20
three,Camerupt,323,fire,120,100,70,145,105,20,560,33
three,Torkoal,324,fire,85,140,70,85,70,20,470,28
three,Spoink,325,psychic,25,35,60,70,80,60,330,27
three,Grumpig,326,psychic,45,65,80,90,110,80,470,12
three,Spinda,327,normal,60,60,60,60,60,60,360,11
three,Trapinch,328,ground,100,45,45,45,45,10,290,38
three,Vibrava,329,ground,70,50,50,50,50,70,340,34
three,Flygon,330,ground,100,80,80,80,80,100,520,184
three,Cacnea,331,grass,85,40,50,85,40,35,335,14
three,Cacturne,332,grass,115,60,70,115,60,55,475,30
three,Swablu,333,normal,40,60,45,40,75,50,310,39
three,Altaria,334,dragon,110,110,75,110,105,80,590,99
three,Zangoose,335,normal,115,60,73,60,60,90,458,38
three,Seviper,336,poison,100,60,73,100,60,65,458,28
three,Lunatone,337,rock,55,65,90,95,85,70,460,21
three,Solrock,338,rock,95,85,90,55,65,70,460,19
three,Barboach,339,water,48,43,50,46,41,60,288,3
three,Whiscash,340,water,78,73,110,76,71,60,468,13
three,Corphish,341,water,80,65,43,50,35,35,308,20
three,Crawdaunt,342,water,120,85,63,90,55,55,468,38
three,Baltoy,343,ground,40,55,40,40,70,55,300,8
three,Claydol,344,ground,70,105,60,70,120,75,500,16
three,Lileep,345,rock,41,77,66,61,87,23,355,14
three,Cradily,346,rock,81,97,86,81,107,43,495,31
three,Anorith,347,rock,95,50,45,40,50,75,355,21
three,Armaldo,348,rock,125,100,75,70,80,45,495,56
three,Feebas,349,water,15,20,20,10,55,80,200,23
three,Milotic,350,water,60,79,95,100,125,81,540,149
three,Castform,351,normal,70,70,70,70,70,70,420,27
three,Kecleon,352,normal,90,70,60,60,120,40,440,24
three,Shuppet,353,ghost,75,35,44,63,33,45,295,19
three,Banette,354,ghost,165,75,64,93,83,75,555,41
three,Duskull,355,ghost,40,90,20,30,90,25,295,33
three,Dusclops,356,ghost,70,130,40,60,130,25,455,33
three,Tropius,357,grass,68,83,99,72,87,51,460,43
three,Chimecho,358,psychic,50,80,75,95,90,65,455,18
three,Absol,359,dark,150,60,65,115,60,115,565,142
three,Wynaut,360,psychic,23,48,95,23,48,23,260,14
three,Snorunt,361,ice,50,50,50,50,50,50,300,19
three,Glalie,362,ice,120,80,80,120,80,100,580,26
three,Spheal,363,ice,40,50,70,55,50,25,290,41
three,Sealeo,364,ice,60,70,90,75,70,45,410,17
three,Walrein,365,ice,80,90,110,95,90,65,530,35
three,Clamperl,366,water,64,85,35,74,55,32,345,6
three,Huntail,367,water,104,105,55,94,75,52,485,12
three,Gorebyss,368,water,84,105,55,114,75,52,485,11
three,Relicanth,369,water,90,130,100,45,65,55,485,18
three,Luvdisc,370,water,30,55,43,40,65,97,330,7
three,Bagon,371,dragon,75,60,45,40,30,50,300,45
three,Shelgon,372,dragon,95,100,65,60,50,50,420,22
three,Salamence,373,dragon,145,130,95,120,90,120,700,157
three,Beldum,374,steel,55,80,40,35,60,30,300,38
three,Metang,375,steel,75,100,60,55,80,50,420,40
three,Metagross,376,steel,145,150,80,105,110,110,700,236
three,Regirock,377,rock,100,200,80,50,100,50,580,36
three,Regice,378,ice,50,100,80,100,200,50,580,42
three,Registeel,379,steel,75,150,80,75,150,50,580,41
three,Latias,380,dragon,100,120,80,140,150,110,700,105
three,Latios,381,dragon,130,100,80,160,120,110,700,99
three,Kyogre,382,water,150,90,100,180,160,90,770,115
three,Groudon,383,ground,180,160,100,150,90,90,770,106
three,Rayquaza,384,dragon,180,100,105,180,100,115,780,198
three,Jirachi,385,steel,100,100,100,100,100,100,600,96
three,Deoxys,386,psychic,95,90,50,95,90,180,600,86
four,Turtwig,387,grass,68,64,55,45,55,31,318,95
four,Grotle,388,grass,89,85,75,55,65,36,405,36
four,Torterra,389,grass,109,105,95,75,85,56,525,148
four,Chimchar,390,fire,58,44,44,58,44,61,309,55
four,Monferno,391,fire,78,52,64,78,52,81,405,29
four,Infernape,392,fire,104,71,76,104,71,108,534,137
four,Piplup,393,water,51,53,53,61,56,40,314,96
four,Prinplup,394,water,66,68,64,81,76,50,405,29
four,Empoleon,395,water,86,88,84,111,101,60,530,139
four,Starly,396,normal,55,30,40,30,30,60,245,30
four,Staravia,397,normal,75,50,55,40,40,80,340,21
four,Staraptor,398,normal,120,70,85,50,60,100,485,120
four,Bidoof,399,normal,45,40,59,35,40,31,250,46
four,Bibarel,400,normal,85,60,79,55,60,71,410,12
four,Kricketot,401,bug,25,41,37,25,41,25,194,5
four,Kricketune,402,bug,85,51,77,55,51,65,384,21
four,Shinx,403,electric,65,34,45,40,34,45,263,81
four,Luxio,404,electric,85,49,60,60,49,60,363,63
four,Luxray,405,electric,120,79,80,95,79,70,523,212
four,Budew,406,grass,30,35,40,50,70,55,280,14
four,Roserade,407,grass,70,65,60,125,105,90,515,84
